<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/5,09:05:00,14285,14325,14200,14305,47436
2014/5/5,09:10:00,14305,14470,14280,14375,46548
2014/5/5,09:15:00,14370,14415,14360,14410,18904
2014/5/5,09:20:00,14410,14430,14385,14400,14594
2014/5/5,09:25:00,14405,14405,14380,14385,7664
2014/5/5,09:30:00,14380,14410,14365,14400,9120
2014/5/5,09:35:00,14400,14400,14360,14375,10452
2014/5/5,09:40:00,14375,14395,14370,14395,5744
2014/5/5,09:45:00,14395,14415,14380,14405,8704
2014/5/5,09:50:00,14410,14415,14370,14385,11302
2014/5/5,09:55:00,14380,14395,14360,14380,9264
2014/5/5,10:00:00,14385,14395,14365,14390,7938
2014/5/5,10:05:00,14390,14405,14380,14390,7182
2014/5/5,10:10:00,14390,14405,14375,14375,4038
2014/5/5,10:15:00,14380,14425,14375,14415,7546
2014/5/5,10:35:00,14415,14445,14390,14430,13846
2014/5/5,10:40:00,14435,14435,14415,14435,10562
2014/5/5,10:45:00,14430,14435,14390,14400,12244
2014/5/5,10:50:00,14400,14425,14395,14420,5996
2014/5/5,10:55:00,14420,14425,14390,14395,6026
2014/5/5,11:00:00,14395,14410,14390,14395,3162
2014/5/5,11:05:00,14395,14395,14375,14385,10812
2014/5/5,11:10:00,14385,14385,14345,14350,17890
2014/5/5,11:15:00,14350,14355,14320,14340,20244
2014/5/5,11:20:00,14340,14340,14305,14315,16550
2014/5/5,11:25:00,14310,14330,14285,14325,21734
2014/5/5,11:30:00,14325,14325,14290,14320,14080
2014/5/5,13:35:00,14320,14325,14305,14320,10112
2014/5/5,13:40:00,14320,14335,14310,14315,6784
2014/5/5,13:45:00,14320,14345,14305,14330,12794
2014/5/5,13:50:00,14330,14370,14315,14355,14794
2014/5/5,13:55:00,14360,14400,14350,14370,23460
2014/5/5,14:00:00,14375,14390,14360,14365,10570
2014/5/5,14:05:00,14370,14390,14370,14375,7576
2014/5/5,14:10:00,14375,14385,14360,14370,5514
2014/5/5,14:15:00,14375,14375,14325,14325,11720
2014/5/5,14:20:00,14325,14340,14325,14330,7620
2014/5/5,14:25:00,14335,14350,14325,14350,5764
2014/5/5,14:30:00,14350,14390,14340,14375,13500
2014/5/5,14:35:00,14380,14380,14325,14330,13772
2014/5/5,14:40:00,14330,14340,14315,14325,8916
2014/5/5,14:45:00,14325,14340,14320,14330,7354
2014/5/5,14:50:00,14330,14350,14325,14325,8368
2014/5/5,14:55:00,14325,14330,14275,14315,25136
2014/5/5,15:00:00,14315,14370,14310,14365,23296
2014/5/6,09:05:00,14380,14380,14115,14210,56238
2014/5/6,09:10:00,14200,14215,14175,14190,22564
